ID_Usuario,DNI_Usuario,Edad,Género,Ubicación,Tipo_Viajero,ID_Reserva,Fecha_Reserva,Fecha_Viaje,Antelacion_Reserva,Duracion_Viaje,Numero_Personas,Tipo_Paquete,Costo_Total,Metodo_Pago,Destino,Tipo_Alojamiento,Clase_Vuelo,Actividades_Reservadas,Numero_Noches_Estancia,Promocion_Aplicada,Fuente_Reserva,Estado_Reserva,Mes_Reserva,Mes_Viaje,Estacionalidad,Cancelacion_Reserva,Calificacion_Usuario,Comentarios
U0001,90523220G,37,Female,Mexico,Tusirta,R00001,2024|04|09 00:00:00,2024|11|20 00:00:00,356,2,3,Solo vuelo,1670.4,Tarjeta de crédito,Tokyo,,Económica,,3,True,Sitio web,Confirmada,5,12,Temporada baja,True,1,No me gustó el servicio
U0002,63579929V,39,Female,USA,Turista,R00002,2024|12|09 00:00:00,2024|12|20 00:00:00,323,4,3,Solo vuelo,245.23,Tarjeta de crédito,New York,,Primera clase,,4,True,Agente de viajes,Cancelada,11,1,Temporada alta,True,3,No me gustó el servicio
U0003,13157986P,29,Other,Australia,Tusirta,R00003,2024|04|02 00:00:00,2024|05|06 00:00:00,308,3,2,Vuelo + Hotel + Tour,1107.86,Tarjeta de crédito,Barcelona,Airbnb,Ejecutiva,Excursión en bote,3,True,Sitio web,Cancelada,10,12,Temporada baja,True,1,Problemas con la reserva
U0004,84887360H,31,Female,UK,Tusirta,R00004,2024|01|03 00:00:00,2024|12|15 00:00:00,56,14,2,Vuelo + Hotel,1243.29,PayPal,New York,Hotel,Económica,,9,True,Agente de viajes,Cancelada,5,1,Temporada baja,True,4,
U0005,51190861Z,35,Female,Germany,Turista,R00005,2024|06|13 00:00:00,2024|08|27 00:00:00,64,4,1,Solo vuelo,1902.62,Transferencia bancaria,London,,Económica,,5,True,App móvil,Confirmada,5,6,Temporada alta,True,2,No me gustó el servicio
U0006,40949188B,35,Other,India,Tusirta,R00006,2024|05|06 00:00:00,2024|09|14 00:00:00,1,14,2,Solo vuelo,416.78,Transferencia bancaria,Cancun,,Económica,,4,True,Sitio web,Cancelada,1,3,Temporada baja,False,1,Problemas con la reserva
U0007,54142760R,46,Other,UK,Negocios,R00007,2024|04|19 00:00:00,2024|06|15 00:00:00,31,14,3,Vuelo + Hotel,1734.41,Tarjeta de crédito,Rome,Hotel,Primera clase,,1,False,Sitio web,Cancelada,11,2,Temporada alta,True,2,
U0008,83574924P,36,Male,UK,Negocios,R00008,2024|06|22 00:00:00,2024|08|21 00:00:00,206,4,3,Vuelo + Hotel,586.68,PayPal,London,Airbnb,Ejecutiva,,5,False,Sitio web,Confirmada,3,6,Temporada alta,False,4,Todo bien
U0009,79251871N,26,Female,India,Turista,R00009,2024|07|05 00:00:00,2024|08|07 00:00:00,198,14,1,Vuelo + Hotel,697.62,PayPal,Rome,Resort,Económica,,3,True,Sitio web,Pendiente,12,6,Temporada alta,False,1,Problemas con la reserva
U0010,64773268R,48,Other,USA,Tusirta,R00010,2024|07|28 00:00:00,2024|09|01 00:00:00,319,12,4,Vuelo + Hotel,1659.61,PayPal,New York,Airbnb,Ejecutiva,,3,False,App móvil,Confirmada,1,6,Temporada baja,False,2,No me gustó el servicio
U0011,12059280N,47,Female,Spain,Tusirta,R00011,2024|08|07 00:00:00,2024|11|29 00:00:00,169,2,4,Vuelo + Hotel,1023.0,Transferencia bancaria,Barcelona,Airbnb,Ejecutiva,,4,False,App móvil,Pendiente,6,12,Temporada alta,True,1,No me gustó el servicio
U0012,45989498D,43,Male,USA,Turista,R00012,2024|08|05 00:00:00,2024|09|19 00:00:00,347,6,4,Solo vuelo,1819.89,PayPal,Cancun,,Ejecutiva,,5,False,App móvil,Pendiente,10,9,Temporada alta,False,3,Recomendado
